question,answer_1,answer_2,answer_3,answer_4,correct_answer,Text,Troubles
"XIX партконференция, на которой была принята программа политических преобразований, состоялась",в 1986 г.,в 1988 г.,в 1990 г.,в 1991 г.,2,Перестройка в СССР (1985—1991),
Какое из перечисленных событий произошло в 1985— 1991 гг.?,разрешена индивидуальная предпринимательская деятельность,разработан «Моральный кодекс строителя коммунизма»,распущены колхозы,начато создание совхозов,1,Перестройка в СССР (1985—1991),
Договор о создании СНГ был подписан 8 декабря 1991 г. между,"РСФСР, Казахстаном и Белоруссией","РСФСР, Украиной и Белоруссией","РСФСР, Татарстаном и Украиной","РСФСР, Грузией и Азербайджаном ",2,Перестройка в СССР (1985—1991),
"Радикальная экономическая реформа, которая была разработана под руководством Н.И. Рыжкова, была принята",в 1985 г.,в 1987 г.,в 1989 г.,в 1991 г.,3,Перестройка в СССР (1985—1991),
ГКЧП попытался взять власть,9 августа 1991 г.,3 августа 1991 г.,1 августа 1991 г.,1 сентября 1991 г.,1,Перестройка в СССР (1985—1991),
Какое из названных событий произошло в 1989 г.?,объединение Германии,вывод войск из Афганистана,подписание договора о ликвидации ракет средней и меньшей дальности,состоялись выборы Президента РСФСР,2,Перестройка в СССР (1985—1991),
Первый съезд народных депутатов СССР состоялся,в марте—апреле 1986 г.,в мае—июне 1988 г.,в мае—июне 1989 г.,в августе 1991 г.,3,Перестройка в СССР (1985—1991),
Какое из названных положений характеризует «новое политическое мышление»?,признание мира целостным и неделимым,установление «железного занавеса» между социалистическими и капиталистическими странами,гонка вооружений,соблюдение принципа пролетарского интернационализма,1,Перестройка в СССР (1985—1991),
В ходе процесса реабилитации было восстановлено доброе имя,"политических заключенных, подвергшихся репрессиям в 30—50-е гг.","диссидентов, осужденных в 60—80-е гг.",членов политической оппозиции 1918—1923 гг.,участников ГКЧП,1,Перестройка в СССР (1985—1991),
Символом перестройки в СССР стал фильм,Э. Климова «Иди и смотри»,Т. Абуладзе «Покаяние»,А. Прошкина «Холодное лето пятьдесят третьего»,Э. Рязанова «Небеса обетованные»,2,Перестройка в СССР (1985—1991),
Какое из перечисленных событий произошло в 1985—1991 гг.?,отменен курс на строительство коммунизма,высшим законодательным органом в СССР стал Съезд Советов,ликвидировано Главное управление лагерями,разрешены альтернативные выборы,4,Перестройка в СССР (1985—1991),
Укажите одну из причин неудач экономической политики во второй половине 1980-х годов.,приоритетное развитие легкой промышленности в ущерб тяжелой,увеличение зависимости от иностранных инвестиций,сохранение командно-административных основ социалистической экономики,антиалкогольная кампания ,3,Перестройка в СССР (1985—1991),1.0
"Политика расширения информационного пространства, доступа граждан к широкой печатной и телевизионной продукции, свободы суждений и оценок различных явлений в жизни общества получила название",гласности,реабилитации,нового политического мышления,развитого социализма,1,Перестройка в СССР (1985—1991),
"Рост цен, вызванный несоответствием между количеством денег и произведенными товарами, называется",дефляцией,инфляцией,конверсией,дефолтом,2,Перестройка в СССР (1985—1991),
Договор о создании СНГ был подписан 8 декабря 1991 г. Между,"РСФСР, Украиной и Белоруссией","РСФСР, Казахстаном и Белоруссией","РСФСР, Эстонией и Украиной","РСФСР, Грузией и Казахстаном",1,Перестройка в СССР (1985—1991),
«Парад суверенитетов» произошел,в 1986 г.,в 1989 г.,в 1990 г.,в 1991 г.,4,Перестройка в СССР (1985—1991),
Организация Варшавского договора прекратила свое существование,в 1985 г.,в 1988 г.,в 1989 г.,в 1991 г.,3,Перестройка в СССР (1985—1991),
Самая популярная передача для молодежи во второй половине 80-х гг. XX в.,«Взгляд»,«Вокруг света»,«Прожектор перестройки»,«Культурная революция»,1,Перестройка в СССР (1985—1991),
"Литературное произведение, посвященное истории преследования генетиков",«Ночевала тучка золотая» А. Приставкина,«Белые одежды» В. Дудинцева,«Архипелаг ГУЛАГ» А. Солженицына,«Красное колесо» А. Солженицына,2,Перестройка в СССР (1985—1991),
Общественно-политическая жизнь в России в 1990-е гг. характеризовалась,приватизацией,многопартийностью,неосталинизмом,застоем,2,Россия в конце XX — начале XXI в.,
Что из названного характерно для политики «шоковой терапии»?,попытка создать частных собственников,увеличение производства товаров народного потребления,введение госприемки на промышленных предприятиях,увеличение капиталовложений в сельское хозяйство,1,Россия в конце XX — начале XXI в.,
Главным конкурентом Б.Н. Ельцина на выборах Президента РФ в 1996 г. был,В. Жириновский,Г. Зюганов,Г. Явлинский,Б. Немцов,2,Россия в конце XX — начале XXI в.,
Обеспечение обороноспособности страны - непосредственная задача,Федерального Собрания РФ,Правительства РФ,Конституционного Суда РФ,Счетной палаты РФ,2,Россия в конце XX — начале XXI в.,
Российские войска приняли участие в миротворческой,в 1996 г.,в 1998 г.,в 1999 г.,в 2002 г.,3,Россия в конце XX — начале XXI в.,
"Отметьте участников политического кризиса, вызванного начавшимся процессом реформирования политической системы России и уничтожения советской модели государственности.","В.В. Жириновский, Г.А. Явлинский","Р.И. Хасбулатов, А.В. Руцкой","Г.И. Янаев, Д.Т. Язов","Б.Е. Немцов, А.В. Чубайс",2,Россия в конце XX — начале XXI в.,
Всенародное голосование для решения важнейших государственных вопросов,импичмент,выборы,апелляция,референдум,4,Россия в конце XX — начале XXI в.,
Что из названного характерно для культурного развития России в первой половине 90-х гг.?,увеличение капиталовложений в сферу образования,массовая эмиграция ученых и деятелей культуры,увеличение капиталовложений в российский кинематограф,компьютеризация всех школ,2,Россия в конце XX — начале XXI в.,
"Скульптор, создатель памятника, посвященного 300-летию российского флота",С. Коненков,3. Церетели,Э. Неизвестный,И. Шемякин,2,Россия в конце XX — начале XXI в.,
Что из названного характерно для экономической жизни России в 1990-е гг.?,прекращение закупок продуктов за границей,стабилизация финансовой системы при помощи Международного валютного фонда,увеличение капиталовложений в сельское хозяйство,резкое увеличение расходов на развитие системы образования,2,Россия в конце XX — начале XXI в.,
Что из названного является одним из результатов внутренней политики Б.Н. Ельцина?,урегулирование взаимоотношений между центром и субъектами Федерации,отделение ряда республик от Федерации,"ликвидация автономий республик, входящих в Федерацию",прекращение национальных конфликтов,1,Россия в конце XX — начале XXI в.,
Российская Федерация и НАТО подписали программу «Партнерство во имя мира»,в 1991 г.,в 1994 г.,в 1998 г.,в 2000 г.,2,Россия в конце XX — начале XXI в.,
Что из названного характерно для общественно-политической жизни России в 2000—2008 гг.?,противостояние Президента и Государственной Думы по вопросам внутренней политики,реабилитация репрессированных в 1930—1950-е гг.,«парад суверенитетов» субъектов Российской Федерации,создание Общественной палаты,4,Россия в конце XX — начале XXI в.,
Что из названного является одним из результатов «шоковой терапии»?,установлено рыночное соотношение спроса и предложения на произведенную в стране продукцию,начался процесс увеличения ВВП,сокращена внешняя задолженность страны перед западными государствами,стабилизированы цены на продовольственные товары,1,Россия в конце XX — начале XXI в.,
"Финансовый кризис, который привел к резкому обесцениванию рубля, разразился",в мае 1998 г.,в августе 1998 г.,в сентябре 1998 г.,в ноябре 1998 г.,2,Россия в конце XX — начале XXI в.,
Какое из названных событий произошло в 1994 г.?,Татарстан подписал Федеративный договор,начались военные действия в Дагестане,боевики захватили заложников в Буденновске,состоялись выборы Президента РФ,1,Россия в конце XX — начале XXI в.,
"Федеральные законы о национальных символах России — Государственном флаге, Государственном гербе и Государств венном гимне РФ были приняты",в 1998 г.,в 2000 г.,в 2002 г.,в 2003 г.,2,Россия в конце XX — начале XXI в.,
"Главный режиссер театра «Ленком», создатель художественных фильмов «Обыкновенное чудо», «Убить дракона», «Формула любви»",М. Захаров,Г. Волчек,О. Табаков,А. Ширвиндт,1,Россия в конце XX — начале XXI в.,
"Культурное явление 70-90-х годов, для которого характерны стилевой плюрализм, гротеск, ирония, аллюзии и в то же время обращение к традициям",постмодернизм,концептуализм,футуризм,ампир,1,Россия в конце XX — начале XXI в.,
Что из названного характерно для развития России в 90-е гг. XX в.?,гонка вооружений,увеличение внешнего долга России,укрупнение колхозов,усиление идеологического контроля,2,Россия в конце XX — начале XXI в.,
Внешняя политика России в 1992—1999 гг. характеризовалась,выводом советских войск из Афганистана,подписанием Кэмп-Дэвидской декларации,полной выплатой внешнего долга,разрушением Берлинской стены,2,Россия в конце XX — начале XXI в.,
Для общественно-политического развития России в 1990-е гг. было характерно,увеличение количества автономных республик,подписание Федеративного договора,подписание Хельсинкских соглашений,усиление позиций Коммунистической партии,2,Россия в конце XX — начале XXI в.,
Что из названного было характерно для экономической политики правительства под руководством Е. Гайдара?,разработка планов спасения социалистической экономики,получение концессий,либерализация цен,увеличение валового национального продукта,3,Россия в конце XX — начале XXI в.,
Федеративный договор в РСФСР был подписан,31 марта 1992 г.,12 декабря 1993 г.,1 декабря 1994 г.,19 августа 1998 г.,1,Россия в конце XX — начале XXI в.,
Внешняя политика России в 2000—2008 гг. Характеризовалась,присоединением к программе НАТО «Партнерство во имя мира»,выводом войск из бывших социалистических стран,борьбой с терроризмом,формулированием концепции ограниченного суверенитета ,3,Россия в конце XX — начале XXI в.,
"Отметьте, о ком идет речь. Государственный деятель, в марте 1997 г. назначенный заместителем руководителя Администрации президента. В июле 1998 г. стал руководителем Федеральной службы безопасности России. 16 августа 1999 г. был утвержден в должности Председателя Правительства РФ.",Е.Т. Гайдар,В.С. Черномырдин,В.В. Путин,М.М. Касьянов,3,Россия в конце XX — начале XXI в.,
Какое из названных событий произошло в 1996 г.?,Россия была принята в Совет Европы,Россия стала членом Парижского клуба,объявлено о создании СНГ,Россия подписала Кэмп-Дэвидскую декларацию,1,Россия в конце XX — начале XXI в.,
Верховный Совет РСФСР был распущен,в августе 1991 г.,в сентябре 1993 г.,в декабре 1993 г.,в марте 2000 г.,2,Россия в конце XX — начале XXI в.,
В 1995 г. премии американской киноакадемии «Оскар» был удостоен фильм Н. Михалкова,«Сибирский цирюльник»,«Утомленные солнцем»,«Раба любви»,"«Свой среди чужих, чужой среди своих»",2,Россия в конце XX — начале XXI в.,
"Прочтите отрывок из указа и укажите год его опубликования. «Осуществить ... переход в основном на применение свободных (рыночных) цен и тарифов, складывающихся под влиянием спроса и предложения на продукцию производственно-технического назначения, товары народного потребления, работы и услуги».",992 г.,1994 г.,1996 г.,1999 г.,1,Россия в конце XX — начале XXI в.,1.0
В результате экономических реформ 1990-х гг.,каждый гражданин страны получил свою часть в общей собственности государства,экономика России становилась многоукладной,большая часть населения стала мелкими предпринимателями,распущены колхозы,2,Россия в конце XX — начале XXI в.,
С политическим кризисом 1993 г. Связано,создание СНГ,провозглашение суверенитета РСФСР,разработка проекта новой Конституции,ГКЧП,3,Россия в конце XX — начале XXI в.,
Что из названного характерно для внешней политики Российской Федерации в 1992—1999 гг.?,укрепление международного авторитета,расширение контактов с НАТО,усиление позиций социалистического блока в мире,укрепление обороноспособности страны,2,Россия в конце XX — начале XXI в.,1.0
Выборы второго в истории России Президента состоялись,31 декабря 1999 г.,6 марта 2000 г.,7 мая 2000 г.,12 июня 2000 г. ,2,Россия в конце XX — начале XXI в.,
Кэмп-Дэвидская декларация о прекращении состояния «холодной войны» была подписана,в 1992 г.,в 1994 г.,в 1998 г.,в 2002 г.,1,Россия в конце XX — начале XXI в.,
Что из названного характеризует экономическую политику правительства В.С. Черномырдина?,приоритетное развитие легкой промышленности,отказ от финансовой помощи МВФ,прекращение закупок продуктов за границей,введение «валютного коридора»,4,Россия в конце XX — начале XXI в.,
Устав СНГ был принят,в 1992 г.,в 1993 г.,в 1996 г.,в 2000 г.,2,Россия в конце XX — начале XXI в.,
"Отметьте режиссера, создателя остросоциальных фильмов «Предсказание» и «Небеса обетованные».",Э. Рязанов,Н. Михалков,Г. Данелия,Л. Гайдай,1,Россия в конце XX — начале XXI в.,
"Отметьте известного современного художника, создателя собственной галереи.",А. Шилов,М. Захаров,В. Васильев,В. Гергиев,1,Россия в конце XX — начале XXI в.,
Дефолт 1998 г. характеризовался,резким падением курса доллара,увеличением объемов заимствований у Международного валютного фонда,увеличением капиталовложений в оборонную промышленность,снижением темпов инфляции,2,Россия в конце XX — начале XXI в.,
"Документ, в соответствии с которым вместо Верховного Совета РСФСР было создано Федеральное Собрание Российской Федерации, был принят",3 октября 1993 г.,12 декабря 1993 г.,16 июня 1996 г.,31 декабря 1999 г.,2,Россия в конце XX — начале XXI в.,
Балканский кризис разразился,в 1994 г.,в 1999 г.,в 2003 г.,в 2007 г.,2,Россия в конце XX — начале XXI в.,
В начале 2000 г. Россия во внешней политике сблизилась,с Францией и Германией,с США и Великобританией,с Италией и Турцией,с США и Японией,1,Россия в конце XX — начале XXI в.,
Вывод российских войск из Германии был завершен,в 1991 г.,в 1993 г.,в 1994 г.,в 1999 г.,3,Россия в конце XX — начале XXI в.,
Хасавюртские соглашения между Секретарем Совета Безопасности РФ А. Лебедем и А. Масхадовым были подписаны,в 1992 г.,в 1994 г.,в 1996 г.,в 1998 г. ,3,Россия в конце XX — начале XXI в.,
"Стремление республик к отделению, проведению самостоятельной внутренней и внешней политики",коалиция,сепаратизм,консолидация,федерализм,2,Россия в конце XX — начале XXI в.,
Отметьте источник стабилизации экономики в 1999—2000 гг.,высокие цены на нефть,высокие цены на зерно,"оживление внутреннего производства, связанное с отсутствием конкуренции с западными предприятиями",ужесточение дисциплины на предприятиях,1,Россия в конце XX — начале XXI в.,
Отметьте черту развития российской культуры в 2000— 2005 гг.,усиление государственного контроля за творческой интеллигенцией,увеличение количества выпускаемых на экран российских художественных фильмов,массовая эмиграция деятелей культуры,финансирование культурных проектов по остаточному принципу,2,Россия в конце XX — начале XXI в.,
В Сочи ежегодно проходит кинофестиваль,«Золотой лев»,«Кинотавр»,«Сполохи»,«Золотой орел»,2,Россия в конце XX — начале XXI в.,
В каком году император Александр I взошел на престол?,в 1800 г.,в 1801 г.,в 1802 г.,в 1803 г.,2,Россия в первой четверти XIX века,
"Кружок ближайших друзей Александра I, неофициальный совещательный орган при императоре назывался",Избранной радой,Негласным комитетом,Непременным советом,Верховным тайным советом,2,Россия в первой четверти XIX века,
"Указ Александра I, по которому помещики могли отпускать своих крепостных на волю с землей за выкуп, был опубликован",в 1801 г.,в 1803 г.,в 1804 г.,в 1809 г.,2,Россия в первой четверти XIX века,
Высший судебный орган Российской империи,Святейший Синод,Правительствующий Сенат,Комитет министров,Кабинет министров,2,Россия в первой четверти XIX века,
Турцию в войне против России в 1806-1812 гг. поддерживала,Англия,Франция,Пруссия,Италия,2,Россия в первой четверти XIX века,
Главнокомандующим русской армией летом 1812 г. был назначен,П. Багратион,М. Барклай де Толли,Н. Раевский,П. Коновницын,2,Россия в первой четверти XIX века,
"Батареей, которая находилась в центре боевого расположения русских войск на Бородинском поле, командовал",Н. Раевский,П. Багратион,Д. Давыдов,Ф. Уваров,1,Россия в первой четверти XIX века,
В Священный союз в 1815 г. вошли,"Франция, Россия, Англия","Россия, Пруссия, Австрия","Россия, Турция, Англия","Россия, Австрия, Италия",2,Россия в первой четверти XIX века,
Конституция Царства Польского была дарована Александром I в,в 1815 г.,в 1819 г.,в 1820 г.,в 1825 г.,1,Россия в первой четверти XIX века,
Диктатором во время подготовки восстания декабристов на Сенатской площади был назначен ,С. Трубецкой,К. Рылеев,С. Волконский,П. Каховский ,1,Россия в первой четверти XIX века,
В каком году был создан Государственный совет?,в 1810 г.,в 1807 г.,в 1803 г.,в 1801 г.,1,Россия в первой четверти XIX века,
Какое из названных событий произошло в 1802 г.?,открыт университет в Петербурге,начата губернская реформа,издан указ об отмене крепостного права в Прибалтике,учреждены министерства,4,Россия в первой четверти XIX века,
В начале XIX в. высшим судебным органом Российской империи являлся,Государственный совет,Сенат,императорская канцелярия,Комитет министров,2,Россия в первой четверти XIX века,
"Кто из перечисленных государственных деятелей начала XIX в. был автором проекта «Введение к уложению государственных законов», в основу которого был положен принцип разделения властей?",М.М. Сперанский,П.А. Строганов,Н.Н. Новосильцев,А.А. Аракчеев ,1,Россия в первой четверти XIX века,
"Прочтите отрывок из труда В.О. Ключевского и укажите имя государственного деятеля, о котором идет речь.
«Уже при Павле он получил известность в петербургском чиновном мире. По воцарении Александра он был переведен в Непременный совет... Все важнейшие проекты законов, изданных с 1802 г., были редактированы [...] как управляющим департаментом министерства внутренних дел».",Н. Новосильцев,М. Сперанский,А. Аракчеев,А. Чарторыйский,2,Россия в первой четверти XIX века,
Бородинское сражение — главное сражение Отечественной войны 1812 г. — произошло,2 июня 1812 г.,8 июля 1812 г.,26 августа 1812 г.,1 сентября 1812 г.,3,Россия в первой четверти XIX века,
Москва в ходе Отечественной войны 1812 г. была оставлена неприятелю,в июле 1812 г.,в августе 1812 г.,в сентябре 1812 г.,в октябре 1812 г.,3,Россия в первой четверти XIX века,
Территории России в результате решений Венского конгресса 1815 г. были расширены за счет присоединения,Грузии,Аляски,герцогства Варшавского,Восточной Пруссии,3,Россия в первой четверти XIX века,
"Органом законодательной власти в Царстве Польском в соответствии с Конституцией, дарованной Александром I, являлся",Сейм,Государственный совет,Рада,Генеральные штаты,1,Россия в первой четверти XIX века,
Присяга императору Николаю I была назначена на,9 ноября 1825 г.,1 декабря 1825 г.,14 декабря 1825 г.,29 декабря 1825 г.,3,Россия в первой четверти XIX века,
Кто из перечисленных членов Негласного комитета стал министром внутренних дел?,В.П. Кочубей,П.А. Строганов,А.А. Чарторыйский,Н.Н. Новосильцев,1,Россия в первой четверти XIX века,
Крестьяне были признаны наследственными владельцами своих земельных участков,в центральной части Европейской России,в Сибири,в Польше,в Прибалтике,4,Россия в первой четверти XIX века,
Бессословность в системе образования была введена в ходе реформы,802 г.,1803 г.,1811г.,1814 г. ,2,Россия в первой четверти XIX века,
"Система взглядов, отстаивавшая необходимость сохранения существующих государственных порядков, экономических отношений, законов и т.п.",либерализм,олигархия,консерватизм,масонство,3,Россия в первой четверти XIX века,
"Воспитатель Александра I, прививший юному наследнику либеральные взгляды",П. Пален,И. Шувалов,Н. Панин,Ф. Лагарп,4,Россия в первой четверти XIX века,
Идея освобождения крестьян от крепостной зависимости и наделения их землей в размере двух десятин на двор содержалась в проекте конституции,Н. Новосильцева,П. Пестеля,Н. Муравьева,М. Сперанского,3,Россия в первой четверти XIX века,
В октябре 1813 г. русско-прусские войска потерпели поражение,при Лютцене,под Лейпцигом,под Берлином,при Ватерлоо,2,Россия в первой четверти XIX века,
Какое событие из перечисленных ниже состоялось в сентябре 1815 г.?,битва на реке Березине,союзные войска вступили в Париж,русская армия вступила в польские земли,создан Священный союз ,4,Россия в первой четверти XIX века,
Восточная Грузия вошла в состав Российской империи,в 1801 г.,в 1807 г.,в 1811 г.,в 1815 г.,1,Россия в первой четверти XIX века,
По делу о восстании декабристов 14 декабря 1825 г. были казнены,П. Пестель и П. Каховский,М. Бестужев-Рюмин и Н. Муравьев,С. Трубецкой и С. Волконский,К. Рылеев и А. Юшневский,1,Россия в первой четверти XIX века,
Третью коалицию против Наполеона в 1805 г. Составили,"Россия, Пруссия, Швеция","Россия, Англия, Швейцария","Россия, Англия, Австрия","Россия, Италия, Австрия",3,Россия в первой четверти XIX века,
В 1812 г. Россия закончила войну,с Швецией,с Турцией,с Персией,с Ираном,2,Россия в первой четверти XIX века,
В 1810 г. для рассмотрения и подготовки важнейших государственных законов был создан,Государственный совет,Совет министров,Кабинет министров,Избранный совет ,1,Россия в первой четверти XIX века,
М.М. Сперанский высказывал идею о введении в России,конституционной монархии,неограниченной монархии,республиканской формы правления,федеративного устройства,1,Россия в первой четверти XIX века,
Сражение под Аустерлицем состоялось,в 1801 г.,в 1805 г.,в 1807 г.,в 1812 г.,3,Россия в первой четверти XIX века,
При отступлении из Москвы император Франции Наполеон повернул на Старую Смоленскую дорогу после сражения,у села Тарутина,под Малоярославцем,при Березине,под Смоленском,2,Россия в первой четверти XIX века,
С целью экономии государственных бюджетных средств на содержание армии были введены,каторжные работы,гвардейские полки,произведена отмена крепостного права в Прибалтике,военные поселения,4,Россия в первой четверти XIX века,
Главой Польского государства в соответствии с Конституцией являлся,король,российский император,2) российский император,канцлер,2,Россия в первой четверти XIX века,
Какое из перечисленных событий произошло в 1816 г.?,восстание Семеновского полка,создание «Союза Спасения»,создание «Общества благоденствия»,восстание Черниговского полка,2,Россия в первой четверти XIX века,
Александр I отменил крепостное право,на Украине,в Польше,в Новороссии,в Прибалтике,4,Россия в первой четверти XIX века,
Тильзитский мир между Россией и Францией был подписан,в 1807 г.,в 1810 г.,в 1812 г.,в 1815 г.,1,Россия в первой четверти XIX века,
Идею конституционной монархии одним из первых в России высказывал,Н.М. Карамзин,М.М. Сперанский,С.П. Румянцев,Д.Н. Сенявин,2,Россия в первой четверти XIX века,
Автором проекта «Уставной грамоты Российской империи» был,М.М. Сперанский,Н.Н. Новосильцев,А. А. Аракчеев,Александр I,2,Россия в первой четверти XIX века,
Войска антинаполеоновской коалиции вступили в Париж,4 марта 1813 г.,18 марта 1814 г.,14 сентября 1815 г.,14 декабря 1825 г.,2,Россия в первой четверти XIX века,
Священный союз был создан с целью,"оказания экономической помощи европейским государствам, пострадавшим от наполеоновской агрессии",политической поддержки монархий в борьбе с революциями,для военной поддержки европейских государств в захватах новых колоний,охраны Наполеона на острове Эльба,2,Россия в первой четверти XIX века,
Во главе Южного тайного общества находились,"Н. Муравьев, С. Трубецкой","Н. Карамзин, Д. Давыдов","А. Юшневский, А. Тормасов","П. Пестель, М.П. Бестужев-Рюмин",4,Россия в первой четверти XIX века,
Император Александр I даровал конституцию,Польше,Грузии,народам Сибири,народам Кавказа,1,Россия в первой четверти XIX века,
Реформа народного просвещения была начата по указу Александра I,в 1801 г.,в 1803 г.,в 1815 г.,в 1825 г.,2,Россия в первой четверти XIX века,
В ходе Отечественной войны 1812 г. произошло сражение,под Лесной,у Березины,под Кунерсдорфом,под Аустерлицем,2,Россия в первой четверти XIX века,
Для внутренней политики Александра I после войны 1812 г. была характерна,экономия государственного бюджета,разработка проекта отмены крепостного права в Центральной России,введение Новоторгового устава,запрещение продажи государственных крестьян в частные руки,1,Россия в первой четверти XIX века,
"Н.Н. Новосильцев, один из ближайших соратников Александра I, в «Уставной грамоте Российской империи» предлагал",создать двухпалатный парламент,ввести республиканскую форму правления,воссоздать Земский собор,ввести выборы императора,1,Россия в первой четверти XIX века,
Что было одним из результатов Заграничных походов русской армии в 1813-1814 гг.?,укрепились позиции России на международной арене,Россия усилила свое влияние на Балканах,во Франции установилась конституционная монархия,Россия отказалась от завоеванных территорий в Европе,1,Россия в первой четверти XIX века,
Политический или военный союз между государствами называется,конгрессом,коалицией,содружеством,ассамблеей,2,Россия в первой четверти XIX века,
Какое событие из перечисленных ниже произошло в 1809 г.?,Россия вступила в войну с Турцией,опубликован указ «о вольных хлебопашцах»,к России была присоединена Финляндия,создан Негласный комитет,3,Россия в первой четверти XIX века,
Бородинское сражение состоялось,2 июня 1812 г.,6 августа 1812 г.,2 сентября 1812 г.,6 октября 1812 г.,2,Россия в первой четверти XIX века,
Для экономической политики Александра I в 1801-1812 гг. было характерно,выделение государственных средств на строительство мануфактур,сокращение расходов на армию,поощрение вывоза товаров из России,"разработка мер, позволивших ограничить крепостное право",4,Россия в первой четверти XIX века,1.0
В каком году была создана Русско-Американская компания?,в 1799 г.,в 1803 г.,в 1808 г.,в 1824 г.,1,Россия в первой четверти XIX века,
