0,1,2,3,4,5
Что является результатом слияния Бий-Хема и Ка-Хема?,Амур,Енисей, Иртыш, Лена,2
Откуда вытекает река Нева?,Из Ладожского озера,Из озера Ильмень, Из Онежского озера, Из Финского залива,1
Какая российская река берёт своё начало в Китае?,Лена, Ангара, Колыма,Иртыш,4
Какая река ещё не «задействована» в марках российских автомобилей?,Ока, Волга, Кама,Яуза,4
В честь какой реки названа область РФ?,Амур,Лена, Ангара, Енисей,1
Какая «душистая» река протекает по Ярославской области РФ?,Сирень,Черёмуха, Жасмин, Рябина,2
"Назовите ""цветную"" реку в Якутии, являющуюся левым притоком Лены?",Белая, Красная,Синяя, Жёлтая,3
"На какой реке находится Рыбинское водохранилище, глубинами не уступающее Азовскому морю?",Обь, Ангара, Дон,Волга,4
Притоком какой реки является Москва-река?,Кама, Клязьма,Ока, Печора,3
"На берегу какого озера находится могила русского путешественника, исследователя Николая Михайловича Пржевальского?",Селигер,Иссык-Куль, Валдайское, Байкал,2
"По какому предмету Альберт Эйнштейн провалился, поступая в Политехникум Цюриха?",физика, математика, немецкий язык,ботаника,4
Кто был единственным космонавтом имевшим звание Героя Советского союза до полета на орбиту?,Павел Беляев,Георгий Береговой, Василий Лазарев, Владимир Шаталов,2
Как по-другому иногда называют матадора?,терсьо, вуэльта,эспада, мулета,3
В какую программу бальных танцев входит танго?,в латиноамериканскую, в обе, не входит не в одну,в европейскую,4
Что или кто помогает вылечить простуду?,органайзер,небулайзер, мерчендайзер, эквалайзер,2
Кем был былинный богатырь Садко?,князем, воином, пахарем,музыкантом,4
"Как назывались гостиница и ресторан в оперетте Кальмана ""Принцесса цирка""?","""Красный петух"""," ""Белая ворона"""," ""Синяя птица""","""Зелёный попугай""",4
Какой из языков программирования является декларативным?,Pascal, C#,SQL, Lisp,3
"Как закончить известную поговорку ""Сыт, пьян и ...""?",глаза в песке, губы в пиве, уши в саже,нос в табаке,4
Какое изобретение сделало Альфреда Нобеля знаменитым?,Динамометр, Огнемет,Динамит, Напалм,3
Кто сказал «И дым отечества нам сладок и приятен»?,Пушкин, Вяземский,Грибоедов, Пожарский,3
Как звали главного злодея из бразильского сериала «Рабыня Изаура»?,Рудольфо, Рикардо,Леонсио, Алваро,3
К какой стихии принадлежит зодиакальный знак Близнецов?,воздух,огонь, земля, вода,1
"Чем лечат, когда применяют ампелотерапию?",солями,виноградом, музыкой, запахами,2
"Как часто называют треугольник со сторонами 3, 4 и 5 метров?",вавилонский, греческий, римский,египетский,4
"Как называлась деревянная дощечка, которую носили с собой в древности на Руси малограмотные люди?",нос,корма, палуба, рея,1
Столицу какого государство Европы можно найти в теле человека?,Словения, Румыния,Австрия, Швейцария,3
В каком городе Испании проходит фестиваль La Tomatina - помидорная война?,Буньоль,Ятова, Дос-Агвас, Макастре,1
Как называется вьетнамская валюта?,Иена,Донг, Юань, Вона,2
Какие дни называют табельными?,Рабочие, Воскресные, Отпускные,Праздничные,4
Какая из этих стран ввела визовый режим для россиян в 2000 г.?,Турция, Италия, Кипр,Чехия,4
Какое из перечисленных озёр находится не в Африке?,Титикака,Танганьика, Ньяса, Чад,1
"Название какого города само говорит о том, что он столица?",Варшава, Найроби,Астана, Лиссабон,3
Кто не сидел за столом во время Безумного чаепития в сказке Кэролла «Алиса в стране Чудес»?,Мышь-Соня, Болванщик,Чеширский Кот, Мартовский Заяц,3
Сколько куполов в комплексе храма Василия Блаженного?,11,13, 9, 7,1
Как звали русского борца Поддубного?,Илья,Иван, Алексей, Дмитрий,2
Какой петербургский мост не разводят?,Аничков,Литейный, Троицкий, Дворцовый,1
Какой стиль называют «вещами из бабушкиного сундука»?,винтаж,фьюжн, милитари, этника,1
Самая высокая гора какой страны называется Говерла?,Белоруссия, Казахстан, Армения,Украина,4
Что является фирменным блюдом на Уимблдонском теннисном турнире?,Ананасы в шампанском, Яблочный штрудель,Клубника со сливками, Шоколадный пудинг,3
Радиолы с каким названием не было во времена СССР?,«Латвия»,«Украина», «Беларусь», «Эстония»,2
На каком корабле произошло восстание против нарушения ленинских принципов советской властью?,"""Стерегущий""",«Сторожевой»," ""Смелый"""," ""Смелый""",2
Какая страна является родиной кофе?,Эфиопия,Индия, Алжир, Бразилия,1
Какая из этих рыб является объектом промысла для добычи черной икры?,семга, кета, горбуша,cеврюга,4
"Как по-другому называют обожжённую, но не покрытую глазурью керамику?",фаянс, изразец, фарфор,терракота,4
Где можно увидеть слова «primo» и «secunda»?,на скрипке Страдивари, на Царь-колоколе, на кремлёвских курантах,на Медном всаднике,4
Притоком какой реки является Сура?,Волга,Ока, Кама, Днепр,1
"Какой из этих цветов, по легенде, не был прекрасным юношей?",нарцисс,тюльпан, гиацинт, василёк,2
На чём экспедиция Амундсена в 1926 году долетела до Северного полюса?,Дирижабль,Аэростат, Самолёт, Воздушный шар,1
Какую картину написал не Василий Верещагин?,«Японский священник», «Двери Тамерлана», «Калмыцкая молельня»,«Граница Тибета»,4
"Сколько матчей должен сыграть спортивный клуб начиная с 1/32 финала, чтобы победить в розыгрыше кубка?",8,6, 12, 16,2
"В какое насекомое не превращался князь Гвидон в ""Сказке о царе Салтане""?",пчела,муха, комар, шмель,1
На каком из островов Японского архипелага находится Токио?,Сикоку, Кюсю,Хонсю, Хоккайдо,3
"Сколько витков вокруг Земли сделал первый пилотируемый космический корабль ""Восток"" с Юрием Гагариным на борту?",Один,Три, Пять, Десять,1
Какой вид общественного транспорта Москвы был для пассажиров самым дешевым в 70-е годы?,Трамвай,Автобус, Троллейбус, Метро,1
Однажды Исаак Ньютон стоял над кипящим котелком с куриным яйцом в руке. Что же варилось в этот момент в воде?,курица, очки, модель Вселенной,часы,4
Согласно мифологии африканского племени бушменов человек произошел от…,обезьяны,пришельцев со звезд, грибов, электрического разряда,1
"Чью гипотезу доказал Григорий Перельман, отказавшийся от миллиона долларов и самой престижной награды в области математики?",Эйлера, Ферма,Пуанкаре, Пифагора,3
"Какое животное, как считается, дало название денежной единице Хорватии?",горностай,куница, соболь, заяц,2
Фамилия какого из этих сподвижников Петра Первого написана здесь с ошибкой?,Ромодановский, Лефорт, Апраксин,Меньшиков,4
Сколько сражений проиграл А.В. Суворов?,Ни одного,Одно, Два, Три,1
"Как называется поворот трассы «Формулы-1», на котором автомобили меняют траекторию на 180 градусов?",шпилька,заколка, булавка, брошь,1
Какое слово произошло от китайского словосочетания «большой ветер»?,ураган,тайфун, торнадо, циклон,2
Режиссёров фильма «Чапаев» называют «братья Васильевы». Кем они приходились друг другу на самом деле?,отцом и сыном, двоюродными братьями, родными братьями,однофамильцами,4
На гербе какого заведения был начертан девиз «Для общей пользы»?,Московский университет,Царскосельский лицей, Морозовская больница, Смольный институт,2
Какое прозвище дали Александру Мостовому болельщики футбольного клуба Сельта из Виго?,Царь,Король, Гений, Великий,1
Какой химический элемент обозначают латинскими буквами Sn?,стронций, скандий, цинк,олово,4
"Царем какой страны был Гордий - ""изобретатель"" знаменитого узла?",Фригии,Спарты, Персии, Лидии,1
В водах какого океана находится знаменитое большое мусорное пятно из пластиковых отходов?,Атлантический, Индийский,Тихого, Северный Ледовитый,3
В каком из городов наибольшее число жителей?,Париж, Сан-Франциско, Новосибирск,Сидней,4
"Кто, будучи студентом, залил свои чертежи тушью и решил стать актёром?",Олег Даль,Владимир Высоцкий, Андрей Миронов, Олег Янковский,2
"Чего, согласно идиоме, можно задать противнику в поединке?",соли, горчицы, аджику,перцу,4
"Какую особенность внешности имеет птица клёст, выедающая семена из шишек?",раздвоенный хвост, короткие крылья, загнутые кверху когти,перекрещённый клюв,4
Какого подвига не совершал Геракл?,поимка керинейской лани, истребление стимфалийских птиц, похищение пояса Ипполиты,убийство горгоны Медузы,4
Для чего хакасы использую пыргы?,Мастерят юрту, Ловят оленя,Музицируют, Добывают огонь,3
Каким стихотворным размером написана строка «Ветер по морю гуляет»?,Ямб, Анапест, Дактиль,Хорей,4
Чьё выступление в цирке называют «антре»?,Дрессировщиков, Эквилибристо, Жонглёров,Клоунов,4
В каком месяце в США традиционно начинаются президентские выборы?,Октябрь, Сентябрь, Август,Ноябрь,4
В каком канадском городе находится самая высокая в мире телебашня?,Оттава,Торонто, Монреаль, Ванкувер,2
Каким веком считается начало XX столетия в русской поэзии?,Бронзовым, Золотым, Платиновым,Серебряным,4
Какое из этих мясных блюд обычно тушат?,Котлеты, Люля-кебаб,Тефтели, Фрикадельки,3
Что такое мескаль?,Блюдо бразильской кухни,Традиционный мексиканский алкогольный напиток, Быстрорастущий кустарник, Денежная единица Венесуэлы,2
Кто из этих ребят у Фазиля Искандера был из Чегема?,Вахтанг, Серго,Сандро, Вано,3
С каким предметом не соревновались гимнастки на Олимпиаде 2012 года?,Обруч,Скакалка, Мяч, Булавы,2
Какой из этих городов был столицей США?,Детройт, Бостон,Филадельфия, Атланта,3
"Что означает слово ""кяхта""?",Палата парламента,Город, Церковная риза, Морское судно,2
"Назовите множественное число слова ""дно""?",Дны, Дна,Донья, Доны,3
Какие из этих древних племен не относятся к германским?,Франки,Пруссы, Англы, Готы,2
Какое из этих морей не входит в бассейн Тихого океана?,Берингово,Баренцево, Охотское, Коралловое,2
Кто из ниже перечисленных был жив на момент окончания Второй Мировой Войны?,Бенито Муссолини,Фридрих Паулюс, Вальтер Модель, Йозеф Геббельс,2
Как с латинского языка переводится название острова Капри?,«овечий остров», «коровий остров»,«козий остров», «свиной остров»,3
"Какие рыбы были изображены на гербе Царицына, который утвердил Николай I?",Сомы, Щуки,Стерляди, Лещи,3
Кто является единственным пятикратным чемпионом мира в Формуле-1?,Хуан Мануель Фанхио,Ален Прост, Мика Хаккинен, Аертон Сенна,1
Какой из этих живописцев не был портретистом?,Фёдор Рокотов,Алексей Саврасов, Дмитрий Левицкий, Владимир Боровиковский,2
У какого из этих музыкальных инструментов меньше всего струн?,Домбра,Кобза, Балалайка, Саз,1
"Фраза ""Ешь - потей, работай - мёрзни!"" - это:",Пословица, Поговорка,Народная мудрость, Завет Ильича,3
Каким прибором измеряют силу тока?,Вольтметр, Омометр,Амперметр, Манометр,3
Какая фирма пытается изменить нашу жизнь к лучшему?,Siemens, Ardo, Газпром,Phillips,4
"Кому А.С. Пушкин посвятил стихотворение ""Во глубине сибирских руд...""?",Декабристам,Пугачеву, Шахтёрам, Анне Керн,1
Какое из этих животных доводится самым близким родственником зубру?,Буйвол, Як, Джейран,Бизон,4
В каком из этих городов состоялись игры Олимпиады-2000?,Атланта, Афины,Сидней, Лондон,3
К какому виду программ относятся компьютерные шахматы?,Стратегии, Квесты, Шутеры,Симуляторы,4
Как переводится Буэнос-Айрес?,Голубое небо, Зелёный лес,Xороший воздуx, Солёное озеро,3
Какая сказка Пушкина начинается с числительного?,«Сказка о рыбаке и рыбке»,«Сказка о царе Салтане», «Сказка о золотом петушке», «Сказка о попе и работнике его Балде»,2
"Что делает мастер, зачищая паркет?",шпаклюет, малюет,циклюет, ворует,3
Кого или что рисуют художники-анималисты?,иконы,животных, людей, мультфильмы,2
Из какого мяса делаются традиционные пожарские котлеты?,баранина, говядина, свинина,курятина,4
"Что можно наблюдать, когда все суетятся?",огонь помелом, пепел ухватом, сажу лопатой,дым коромыслом,4
"Какой цвет не входил в самое непонятное цветовое сочетание, да ещё и «в крапинку»?",малиновый, серый,красный, бурый,3
Какой марки был первый автомобиль Владимира Путина?,"""Запорожец""","""Волга"""," ""Москвич"""," ""Победа""",1
Где в автомобиле находятся форсунки?,В салоне, В подвеске, В топливном баке,В двигателе,4
"Какой породы был Джим — любимый пёс Василия Качалова, восхитивший Есенина?",Такса, Овчарка,Доберман, Сеттер,3
"У этой болезни много названий: финикийская болезнь, скорбная болезнь, крымка, ленивая смерть. Какая это болезнь?",Сибирская язва, Тиф,Проказа, Чума,3
Кто первым совершил в одиночку беспосадочный перелет через Атлантику?,Чарлз Линдберг,Рене? Поль Фонк, Н.Дэвис, Ч.Нунжесер,1
"В каком году вышла первая звуковая экранизация трагедии ""Ромео и Джульетта""?",1936,1939, 1932, 1929,1
Что из перечисленного не является небесным телом?,самолет,луна, солнце, звезда,1
Какой рыцарский орден существует в Великобритании почти триста лет?,орден Кухни, орден Погреба, орден Кабинета,орден Бани,4
"Название какого прибора само говорит, что он лучший?",пирометр, конвектор,примус, безмен,3
Из какого материала сделана Венера Милосская?,мрамор,бронза, гипс, гранит,1
Кто пел дуэтом в фильме «Обыкновенное чудо»?,Александр и Александра,Эмиль и Эмилия, Валерий и Валерия, Виктор и Виктория,2
Какой город расположен не на Ангаре?,Иркутск, Братск,Якутск, Усть-Илимск,3
Какой предмет авангардист Марсель Дюшан выставил как произведение искусства под названием «Фонтан»?,писсуар,шприц, садовую лейку, водопроводный кран,1
За что песенка предлагает шофёру держаться крепче?,за баранку,за слойку, за ватрушку, за бублик,1
краткое иносказательное- нравоучительное произведение,аполог,аполог, аполог, аполог,1
"Хуже чего, как говорят в народе, может надоесть человек?",солёной воблы, сладкой ваты, кислой простокваши,горькой редьки,4
Как называется знаменитая советская кинокомедия?,«Господа чужбины», «Пэры победы»,«Джентльмены удачи», «Лорды разлуки»,3
Чем кроют крышу строители?,шифоньером, калорифером,шифером, матом,3
В каких единицах химики измеряют количество вещества?,в пчёлах, в комарах,в молях, в мухах,3
Какие российские военнослужащие официально имеют в рационе алкоголь?,прорабы стройбата, космонавты, работники военкоматов,моряки-подводники,4
Какой официальный национальный праздник отмечают в Туркмении с 1994 года?,День арбуза,День дыни, День персика, День винограда,2
"Какой из этих ударов в боксе наносится снизу согнутой рукой, чаще всего в подбородок?",кросс,апперкот, джеб, хук,2
"Как называют человека, который утром чувствует себя бодрее, чем вечером?",Сова, Петух, Феникс,Жаворонок,4
"Как в математике называется число, квадрат которого равен ""-1""?",Странная единица, Исключительная единица,Мнимая единица, Незаконная единица,3
Кто из этих сказочных персонажей периодически сносил золотые яйца?,Крокодил Гена,Курочка Ряба, Черепаха Тортилла, Гадкий Утенок,2
Как звали французского революционера XVIII века Робеспьера?,Жан Жак, Жорж Жак,Максимилиан, Оноре Габриэль,3
Какой актер в трилогии Андре Юнебеля скрывался под маской Фантомаса?,Жан .Маре,Жан Габен, Аллен Делон, Пьер Ришар,1
Сигнал на российских морских пляжах означает запрет на купание?,Черный флаг, Желтый шар,Черный шар, Желтый флаг,3
Чье имя носит международный конкурс актерской песни?,Юрия Никулина, Анаталоия Папанова, Евгения Леонова,Андрея Миронова,4
"Что такое ""ахиллесова пята""?",Сильный аргумент,Уязвимое место, Удар в каратэ, Размер ноги,2
Что оценивают по шкале Бофорта?,Высоту волны, Силу землетрясения, Твердость минералов,Силу ветра,4
По улице ходила... Кто?(с песенки),Зеленая кобыла, Невеста Автандила, Зубастая горилла,Большая крокодила,4
Как называется серия энциклопедий издательства АСТ?,Я узнаю мир, Все о мире, Я незнаю мир,Я познаю мир,4
"В какой стране необходимо побывать, чтобы отдохнуть в Анталье?",В Турции,В Египте, В Колумбии, В США,1
Из какого злака делается пшено?,Просо,Овес, Ячмень, Пшеница,1
Как называется японское искусство аранжировки цветов?,Оригами, Бонсаи,Икебанэ, Батик,3
Что изобрёл в XIX веке англичанин Джордж Стефенсон?,Пароплан,Паровоз, Парашют, Пароход,2
Кто из этих российских хоккеистов не включен в Зал хоккейной славы?,Игорь Ларионов, Павел Буре,Алексей Ковалёв, Вячеслав Фетисов,3
"Кем был американец Джозеф Глидден, получивший в 1874 году патент на изобретение колючей проволоки?",кузнецом, архитектором, военным,фермером,4
Какого вида акул не существует?,лимонная, тигровая, кошачья,черная,4
По какому маршруту следует фирменный поезд «Лев Толстой»?,Самара-Москва, Псков-Москва, Москва-София,Москва-Хельсинки,4
"Как назвалась станция, где окончил свою жизнь Лев Толстой?",Щёкино, Белево,Астапово, Волово,3
Какими словами в романе А.С.Пушкина начинается письмо Онегина к Татьяне?,"""Я знаю всё ..."""," ""Скажу Вам всё ...""","""Предвижу всё ..."""," ""Я понял всё ...""",3
Какой тип природной зоны можно наблюдать в североамериканской прерии?,Пустыня, Болото, Лес,Степь,4
Какой из островов не относится к Курильской гряде?,Экарма, Расшуа,Монерон, Кетой,3
Каким по счету президентом США стал Барак Обама?,40,44, 51, 56,2
С чем канцлер Германской империи Отто фон Бисмарк сравнивал колбасу?,С политикой,С театром, С наукой, С бездельем,1
В какую эпоху обитал питекантроп?,Неолит,"Считается, что питекантроп обитал в эпоху нижнего палеолита (2,6 млн — 150 тыс. лет до н. э.). Современные исследователи не склонны считать питекантропа предком современного человека. По всей видимомсти он представляет собой дальнюю и изолированную популя", Мезолит, Эпипалеолит,2
средство ухода за мебелью,крем, лак,полироль, вода,3
Назовите высоту вышки в соревнованиях по прыжкам в воду.,12 метров, 8 метров,10 метров, 5 метров,3
Какая из перечисленных стран не входит в Еврозону?,Дания,Нидерланды, Люксембург, Ирландия,1
По какой из этих карточных игр регулярно проводятся чемпионаты мира?,Бридж,Покер, Преферанс, Девятка,1
"Под какой моделью выпускал Генри Форд свой автомобиль ""Форд Лиззи""?",T,S, G, N,1
Какой титул носит супруг королевы Великобритании Елизаветы II?,Барон, Князь, Граф,Герцог,4
Кого прозвали рыцарем «без страха и упрёка»?,Пьер Террайль де Баярд,Жан ле Менгр Бусико, Жак де Моле, Ульрих фон Лихтенштейн,1
"Какой цвет Андрей Рублев не использовал при написании ""Троицы""?",Коричневый, Синий,Красный, Желтый,3
Сколько океанов омывает территорию США?,два,три, четыре, один,2
Какое настоящее имя Леси Украинки??,Валя, Люда,Лариса, Вера,3
"Какой из этих драгоценных камней не является, как три остальных, разновидностью берилла?",Хризолит,Изумруд, Гелиодор, Аквамарин,1
Кто из этих шахматистов никогда не был чемпионом мира?,В. Корчной,В. Смыслов, Р. Фишер, А. Карпов,1
Как часто называют тонкую строганую доску?,паровозка,вагонка, рельсовка, шпалка,2
От какого женского имени происходит уменьшительное имя Нюра?,Ирина, Глафира,Анна, Нина,3
"Что должно быть у камня, чтобы его назвали куриным богом?",сквозное отверстие,включение горного хрусталя, крестообразные прожилки, отпечаток древнего существа,1
Где используется индийская защита?,в шахматах,в кунг-фу, в фортификации, в стоматологии,1
Какой страной не правит монарх?,Бельгия, Испания, Нидерланды,Португалия,4
Кто из бесовской четвёрки первым появился на страницах романа «Мастер и Маргарита»?,Воланд, Азазелло, кот Бегемот,Коровьев,4
Что японки до начала ХХ века традиционно делали с зубами для красоты?,наращивали резцы,чернили, тавили золотые коронки, вырывали верхние клыки,2
В каком австрийском городе находится аэропорт «Голубой Дунай»?,Линц,Вена, Инсбрук, Грац,1
"Как называется положение, принимаемое без логического доказательства в силу непосредственной убедительности?",Лемма, Статус-кво, Алогизм,Аксиома,4
Сколько сонетов образуют венок сонетов?,14, 12, 13,15,4
В какой стране денежная единица называется денар?,Сербия, Хорватия,Македония, Словения,3
"Чему Николай Гоголь посвятил такие строки: «Боже! Как ты хороша подчас! Сколько раз, как погибающий и тонущий, я хватался за тебя, и ты всякий раз меня великодушно выносила и спасала!»",Соломинке;, Лодке;,Дороге;, Русской женщине;,3
Продолжите знаменитую фразу Гоголя: «Какой же русский не любит быстрой …»?,Еды;, Выгоды;, Реки;,Езды;,4
"Что, по мнению Николая Гоголя, является второй (после дураков) бедой России?",Дороги,Бюрократы, Мосты, Взяточники,1
Как Гоголь определил жанр своего произведения «Мёртвые души»?,Роман в стихах;,Поэма в прозе;, Научный трактат;, Современная былина;,2
Как заканчивается фраза Н.В. Гоголя: «Чуден Днепр...»?,Для редкой птицы;, Во время разлива;,При тихой погоде;, Без Днепрогэса.,3
Как называется повесть Н.В. Гоголя «Ночь перед...»?,Экзаменом;,Рождеством;, Расстрелом;, Женитьбой;,2
Кого оседлал гоголевский кузнец Вакула?,Водяного;, Лешего;,Чёрта;, Кикимору;,3
Какой памятник был установлен в Санкт-Петербурге?,Носу майора Ковалёва;,Трубке Тараса Бульбы;, Шинели Башмачкина;, Бричке Чичикова.,1
Назовите головной убор гоголевского Чичикова?,Цилиндр;, Берет;,Картуз;, Шапка-ушанка.,3
Что случилось с шинелью Акакия Акакиевича Башмачкина в повести Н.В. Гоголя?,Износили соседи;,Похитили грабители;, Забрали кредиторы;, Съела моль;,2
"Где маленький Иван Крылов обучался грамоте, арифметике и молитвам?",В церковно-приходской школе;, В пансионе;, В лицее;,Дома;,4
В каком качестве Иван Андреевич Крылов начал свою литературную деятельность?,Критика, Переводчика,Драматурга, Фантаста,3
Какой литературный псевдоним имел Иван Андреевич Крылов?,Нави Волырк,Человек без селезёнки, Брат моего брата, Антоша Чехонте,1
"В работе над каким произведением А.С. Пушкину очень помогли детские воспоминания баснописца И.А. Крылова, сына боевого офицера?",«Капитанская дочка»,«Медный всадник», «Полтава», «Кавказский пленник»,1
"Как называлось первое произведение Крылова, написанное им в 15 лет?",«Кофейница»,«Сахарница», «Сухарница», «Молочница»,1
Сколько басен было написано И.А. Крыловым?,Около 150,Около 200, Около 100, Около 50,2
"Как называлась последняя басня, написанная И.А. Крыловым?",«Похороны»,«Вельможа», «Лев состарившийся», «Бедный богач»,2
За что в 1820 году И.А. Крылов получил орден св. Владимира 4-й степени?,За издание 6 томов басен, Зв написание оперы «Илья-Богатырь», За журналистскую деятельность,За составление каталога русских книг,4
Кто автор памятника И.А. Крылову в Летнем саду Санкт-Петербурга?,А.М. Опекушин,П.К. Клодт, И.П. Витали, Э.П. Фальконе,2
Сколько басен Ивана Крылова показаны скульптором Клодтом на пьедестале памятника баснописцу в Летнем саду?,Тридцать шесть;,Двадцать четыре;, Двенадцать;, Пять;,1
На каком известном памятнике можно увидеть фигуру писателя И.А. Крылова?,«Родина-мать», «Александровская колонна»,«Тысячелетие России», «Царь-колокол»,3
Каким музыкальным инструментом виртуозно владел баснописец Крылов?,Аккордеон, Труба,Скрипка, Орган,3
"В день пятидесятилетия творческой деятельности Ивана Андреевича Крылова Пётр Вяземский назвал его так, как до сих пор его называем все мы. Как?",Дедушка Крылов;,Солнце русской поэзии;, Дядя Ваня;, Эзопов сын;,1
Без чего не приготовить популярную начинку для шоколадных конфет пралине?,без нуги, без шоколада, без карамели,без орехов,4
Какая из этих звезд находится в созвездии Южного Креста?,Шаула,Акрукс, Ахернар, Хадар,2
Какой из этих воинских чинов не является казачьим?,Хорунжий,Ротмистр, Есаул, Вахмистр,2
Отцом чего называют Норберта Винера?,атомной бомбы, бодибилдинга,кибернетики, воздухоплавания,3
Кого боится арахнофоб?,Пауков,Змей, Тараканов, Клещей,1
Чего боится амаксофоб?,Управлять автомобилями,Управлять самолётами, Управлять поездами, Управлять кораблями,1
Где проходил чемпионат мира по футболу в 1982 году?,Италия, Мексика, Франция,Испания,4
Чемпион мира по футболу в 1982 году?,Испания,Италия, Англия, Бразилия,2
Чемпион мира по футболу 1982 года.,Уругвай, Франция, Англия,Италия,4
"Первый в истории футболист, выигравший чемпионат мира в 40 лет.",Дзофф, Д. Дзофф,Дино Дзофф, Капитан Италии Дино Дзофф,3
Какая из этих стран не входит в Британское содружество?,Кения,Таиланд, Канада, Багамы,2
Кто написал картину «Утро в сосновом лесу»?,Иван Иванович Шишкин и Константин Аполлонович Савицкий (Савицкий написал медведей),Иван Иванович Шишкин и Константин Аполлонович Савицкий, Иван Шишкин и Константин Савицкий, Шишкин и Савицкий,1
Кто из этих президентов независимых государств не был в советские времена 1-м секретарем ЦК КП соответствующей республики?,С. Ниязов,А. Акаев, Н. Назарбаев, Г. Алиев,2
Как быстро скопировать слово и вставить (комбинация клавиш)?,Ctrl+C и Ctrl+V, Ctrl+C &amp; Ctrl+V,Ctrl+C (копировать) и Ctrl+V (вставить), Ctrl+C - копировать в буфер обмена; Ctrl+V - вставить из буфера обмена,3
Какую «влюблённую парочку» можно увидеть на центральной площади Киева?,люки, киоски,фонари, автобусы,3
Дата договора между Российской Федерацией и Республикой Крым о принятии в Российскую Федерацию Республики Крым и образовании в составе Российской Федерации новых субъектов,20 марта 2013 года, 23 марта 2014 года, 18 марта 2015 года,18 марта 2014 года,4
Какой японский футболист первым сыграл в итальянской Серии А?,Миура, Казуёси Миура,Казуйоси Миура, Кадзуйоси Миура,3
Какой клуб никогда не переходил в итальянскую футбольную Серию В?,Интернационале, Интер, Интер Милан,"Интернационале, он же Интер (Милан)",4
"Какие футбольные клубы, в Испании, по пять раз делали дубль (выигрывали и чемпионат Испании и Кубок Испании)?",Атлетик Бильбао и Барселона, «Барселона» и «Атлетик Бильбао», Барселона и Атлетик Бильбао,«Атлетик Бильбао» и «Барселона»,4
"В итальянской футбольной Серии А за каждые десять выигранных титулов чемпиона клуб получает право носить небольшую золотую звездочку над эмблемой; таким образом, сколько Ювентус имеет звезд?",3 звезды, 3,три звезды, три,3
В каком числе Чемпионатов Мира по футболу Николя Анелька принимал участие?,в одном, один,1, в одном ЧМ,3
Сколько стадионов принимало игры Кубка Мира по футболу 2010 года в ЮАР?,9,девять, 9 стадионов, девять стадионов,1
"Что делает рыба, хватая наживку?",щиплет,клюёт, гложет, рвёт и мечет,2
